quantidade;digital;quick;bubble
10000;0.002000;0.001000;0.244000
20000;0.005000;0.004000;1.198000
30000;0.011000;0.004000;2.652000
40000;0.010000;0.006000;4.888000
50000;0.012000;0.008000;7.828000
60000;0.014000;0.009000;10.679000
70000;0.017000;0.012000;15.535000
80000;0.036000;0.014000;20.776000
90000;0.030000;0.015000;24.809000
100000;0.034000;0.016000;30.709000
110000;0.045000;0.020000;38.035000
120000;0.086000;0.023000;43.660000
130000;0.047000;0.022000;49.882000
140000;0.058000;0.025000;57.672000
150000;0.068000;0.026000;73.034000
160000;0.075000;0.028000;82.182000
170000;0.087000;0.031000;94.657000
180000;0.101000;0.032000;101.814000
190000;0.132000;0.033000;113.768000
200000;0.123000;0.037000;124.633000
210000;0.133000;0.037000;138.731000
220000;0.189000;0.041000;153.863000
230000;0.179000;0.042000;164.489000
240000;0.204000;0.045000;183.178000
250000;0.227000;0.046000;200.308000
260000;0.270000;0.050000;217.533000
270000;0.309000;0.054000;231.087000
280000;0.292000;0.060000;246.948000
290000;0.344000;0.056000;264.065000
300000;0.329000;0.054000;273.597000
310000;0.340000;0.057000;293.768000
320000;0.377000;0.058000;314.782000
330000;0.447000;0.060000;328.131000
340000;0.415000;0.062000;360.327000
350000;0.516000;0.064000;378.270000
360000;0.555000;0.077000;412.187000
370000;0.496000;0.069000;424.005000
380000;0.651000;0.088000;473.304000
390000;0.664000;0.078000;477.118000
400000;0.620000;0.080000;500.589000
410000;0.653000;0.077000;523.816000
420000;0.617000;0.079000;549.574000
430000;0.710000;0.088000;582.115000
440000;0.804000;0.085000;629.716000
450000;0.801000;0.092000;632.529000
460000;0.752000;0.086000;657.866000
470000;0.772000;0.094000;678.734000
480000;0.801000;0.093000;702.732000
490000;0.832000;0.096000;717.141000
500000;0.806000;0.095000;739.136000
10000;0.002000;0.001000;0.244000
20000;0.005000;0.003000;1.090000
30000;0.006000;0.005000;2.504000
40000;0.011000;0.006000;4.592000
50000;0.011000;0.008000;7.105000
60000;0.014000;0.010000;10.385000
70000;0.016000;0.011000;14.192000
80000;0.023000;0.013000;18.567000
90000;0.035000;0.015000;23.582000
100000;0.040000;0.017000;29.159000
110000;0.045000;0.018000;35.320000
120000;0.047000;0.021000;42.124000
130000;0.068000;0.025000;49.650000
140000;0.058000;0.025000;58.280000
150000;0.064000;0.030000;65.622000
160000;0.072000;0.031000;74.624000
170000;0.083000;0.033000;84.298000
180000;0.091000;0.034000;94.552000
190000;0.103000;0.036000;105.070000
200000;0.116000;0.035000;116.474000
210000;0.131000;0.041000;131.288000
220000;0.159000;0.040000;141.277000
230000;0.176000;0.041000;154.413000
240000;0.199000;0.044000;168.203000
250000;0.215000;0.046000;182.513000
260000;0.233000;0.048000;197.253000
270000;0.256000;0.050000;213.194000
280000;0.275000;0.052000;229.201000
290000;0.297000;0.054000;252.492000
300000;0.410000;0.061000;298.949000
310000;0.447000;0.066000;316.271000
320000;0.436000;0.067000;327.944000
330000;0.410000;0.063000;328.977000
340000;0.426000;0.066000;345.874000
350000;0.449000;0.066000;380.985000
360000;0.509000;0.069000;418.517000
370000;0.507000;0.070000;445.441000
380000;0.579000;0.074000;464.938000
390000;0.622000;0.077000;496.799000
400000;0.580000;0.074000;527.876000
410000;0.885000;0.090000;548.095000
420000;0.730000;0.088000;556.610000
430000;0.853000;0.082000;591.216000
440000;0.713000;0.086000;637.670000
450000;0.853000;0.097000;654.451000
460000;0.779000;0.089000;687.370000
470000;0.873000;0.101000;725.412000
480000;0.914000;0.104000;728.936000
490000;0.948000;0.103000;817.913000
500000;0.887000;0.096000;765.113000
10000;0.002000;0.001000;0.244000
20000;0.004000;0.003000;1.180000
30000;0.012000;0.005000;2.712000
40000;0.010000;0.006000;4.936000
50000;0.012000;0.008000;7.832000
60000;0.020000;0.009000;10.844000
70000;0.019000;0.012000;14.774000
80000;0.021000;0.013000;19.526000
90000;0.062000;0.014000;25.830000
100000;0.135000;0.020000;31.413000
110000;0.049000;0.021000;38.369000
120000;0.053000;0.021000;44.233000
130000;0.108000;0.028000;53.875000
140000;0.065000;0.026000;60.548000
150000;0.065000;0.027000;69.584000
160000;0.075000;0.030000;81.172000
170000;0.093000;0.034000;92.559000
180000;0.123000;0.035000;106.017000
190000;0.114000;0.036000;110.621000
200000;0.120000;0.035000;123.801000
210000;0.147000;0.037000;136.397000
220000;0.216000;0.042000;151.954000
230000;0.171000;0.041000;169.761000
240000;0.199000;0.044000;178.965000
250000;0.220000;0.045000;197.648000
260000;0.242000;0.050000;213.066000
270000;0.250000;0.050000;220.883000
280000;0.344000;0.053000;265.716000
290000;0.405000;0.057000;250.760000
300000;0.328000;0.057000;269.213000
310000;0.348000;0.058000;324.549000
320000;0.426000;0.066000;338.345000
330000;0.519000;0.073000;350.910000
340000;0.462000;0.064000;378.023000
350000;0.493000;0.071000;403.511000
360000;0.504000;0.071000;387.040000
370000;0.509000;0.071000;443.982000
380000;0.493000;0.072000;418.746000
390000;0.515000;0.072000;439.416000
400000;0.521000;0.072000;456.848000
410000;0.559000;0.075000;557.082000
420000;0.654000;0.080000;631.883000
430000;1.013000;0.110000;651.940000
440000;0.737000;0.094000;670.257000
450000;0.714000;0.087000;728.905000
460000;0.971000;0.112000;814.245000
470000;1.169000;0.125000;695.176000
480000;0.788000;0.093000;842.147000
490000;1.128000;0.099000;975.273000
500000;1.084000;0.111000;934.567000
10000;0.002000;0.002000;-1.000000
20000;0.004000;0.003000;-1.000000
30000;0.007000;0.004000;-1.000000
40000;0.009000;0.007000;-1.000000
50000;0.011000;0.009000;-1.000000
60000;0.015000;0.010000;-1.000000
70000;0.027000;0.013000;-1.000000
80000;0.028000;0.014000;-1.000000
90000;0.027000;0.014000;-1.000000
100000;0.047000;0.018000;-1.000000
110000;0.051000;0.020000;-1.000000
120000;0.052000;0.021000;-1.000000
130000;0.055000;0.023000;-1.000000
140000;0.061000;0.025000;-1.000000
150000;0.063000;0.028000;-1.000000
160000;0.074000;0.030000;-1.000000
170000;0.081000;0.031000;-1.000000
180000;0.092000;0.038000;-1.000000
190000;0.102000;0.034000;-1.000000
200000;0.113000;0.036000;-1.000000
210000;0.130000;0.037000;-1.000000
220000;0.148000;0.042000;-1.000000
230000;0.168000;0.041000;-1.000000
240000;0.193000;0.043000;-1.000000
250000;0.209000;0.046000;-1.000000
260000;0.231000;0.047000;-1.000000
270000;0.257000;0.049000;-1.000000
280000;0.269000;0.050000;-1.000000
290000;0.313000;0.051000;-1.000000
300000;0.316000;0.054000;-1.000000
310000;0.353000;0.058000;-1.000000
320000;0.372000;0.058000;-1.000000
330000;0.405000;0.063000;-1.000000
340000;0.416000;0.062000;-1.000000
350000;0.463000;0.064000;-1.000000
360000;0.459000;0.066000;-1.000000
370000;0.501000;0.068000;-1.000000
380000;0.576000;0.076000;-1.000000
390000;0.543000;0.072000;-1.000000
400000;0.568000;0.077000;-1.000000
410000;0.654000;0.080000;-1.000000
420000;0.672000;0.082000;-1.000000
430000;0.634000;0.081000;-1.000000
440000;0.670000;0.081000;-1.000000
450000;0.743000;0.085000;-1.000000
460000;0.932000;0.086000;-1.000000
470000;0.978000;0.094000;-1.000000
480000;0.771000;0.095000;-1.000000
490000;0.811000;0.092000;-1.000000
500000;0.854000;0.093000;-1.000000
10000;0.002000;0.001000;-1.000000
20000;0.005000;0.003000;-1.000000
30000;0.007000;0.004000;-1.000000
40000;0.009000;0.006000;-1.000000
50000;0.012000;0.008000;-1.000000
60000;0.015000;0.010000;-1.000000
70000;0.018000;0.012000;-1.000000
80000;0.033000;0.015000;-1.000000
90000;0.024000;0.015000;-1.000000
100000;0.027000;0.016000;-1.000000
110000;0.037000;0.019000;-1.000000
120000;0.048000;0.020000;-1.000000
130000;0.051000;0.023000;-1.000000
140000;0.062000;0.025000;-1.000000
150000;0.067000;0.027000;-1.000000
160000;0.073000;0.029000;-1.000000
170000;0.087000;0.030000;-1.000000
180000;0.100000;0.034000;-1.000000
190000;0.131000;0.036000;-1.000000
200000;0.124000;0.035000;-1.000000
210000;0.147000;0.041000;-1.000000
220000;0.149000;0.039000;-1.000000
230000;0.175000;0.041000;-1.000000
240000;0.207000;0.046000;-1.000000
250000;0.203000;0.045000;-1.000000
260000;0.237000;0.047000;-1.000000
270000;0.250000;0.049000;-1.000000
280000;0.271000;0.050000;-1.000000
290000;0.293000;0.052000;-1.000000
300000;0.316000;0.053000;-1.000000
310000;0.340000;0.057000;-1.000000
320000;0.376000;0.062000;-1.000000
330000;0.386000;0.061000;-1.000000
340000;0.422000;0.062000;-1.000000
350000;0.430000;0.064000;-1.000000
360000;0.464000;0.065000;-1.000000
370000;0.478000;0.068000;-1.000000
380000;0.501000;0.069000;-1.000000
390000;0.524000;0.070000;-1.000000
400000;0.590000;0.073000;-1.000000
410000;0.596000;0.077000;-1.000000
420000;0.597000;0.077000;-1.000000
430000;0.623000;0.080000;-1.000000
440000;0.650000;0.082000;-1.000000
450000;0.687000;0.088000;-1.000000
460000;0.706000;0.088000;-1.000000
470000;0.751000;0.091000;-1.000000
480000;0.834000;0.102000;-1.000000
490000;0.800000;0.095000;-1.000000
500000;0.812000;0.095000;-1.000000
10000;0.002000;0.002000;-1.000000
20000;0.004000;0.003000;-1.000000
30000;0.007000;0.004000;-1.000000
40000;0.010000;0.006000;-1.000000
50000;0.013000;0.008000;-1.000000
60000;0.017000;0.010000;-1.000000
70000;0.024000;0.012000;-1.000000
80000;0.023000;0.014000;-1.000000
90000;0.024000;0.015000;-1.000000
100000;0.045000;0.018000;-1.000000
110000;0.044000;0.019000;-1.000000
120000;0.054000;0.022000;-1.000000
130000;0.053000;0.023000;-1.000000
140000;0.067000;0.026000;-1.000000
150000;0.077000;0.027000;-1.000000
160000;0.073000;0.029000;-1.000000
170000;0.092000;0.032000;-1.000000
180000;0.099000;0.033000;-1.000000
190000;0.106000;0.036000;-1.000000
200000;0.122000;0.035000;-1.000000
210000;0.140000;0.037000;-1.000000
220000;0.154000;0.039000;-1.000000
230000;0.169000;0.042000;-1.000000
240000;0.186000;0.044000;-1.000000
250000;0.220000;0.045000;-1.000000
260000;0.230000;0.047000;-1.000000
270000;0.254000;0.050000;-1.000000
280000;0.284000;0.050000;-1.000000
290000;0.289000;0.053000;-1.000000
300000;0.337000;0.055000;-1.000000
310000;0.359000;0.055000;-1.000000
320000;0.374000;0.060000;-1.000000
330000;0.396000;0.062000;-1.000000
340000;0.409000;0.066000;-1.000000
350000;0.454000;0.064000;-1.000000
360000;0.456000;0.067000;-1.000000
370000;0.485000;0.073000;-1.000000
380000;0.555000;0.070000;-1.000000
390000;0.580000;0.075000;-1.000000
400000;0.588000;0.077000;-1.000000
410000;0.614000;0.085000;-1.000000
420000;0.607000;0.078000;-1.000000
430000;0.627000;0.080000;-1.000000
440000;0.666000;0.082000;-1.000000
450000;0.685000;0.083000;-1.000000
460000;0.752000;0.091000;-1.000000
470000;0.750000;0.088000;-1.000000
480000;0.778000;0.090000;-1.000000
490000;0.785000;0.091000;-1.000000
500000;0.819000;0.104000;-1.000000
10000;0.002000;0.001000;-1.000000
20000;0.004000;0.003000;-1.000000
30000;0.007000;0.005000;-1.000000
40000;0.010000;0.006000;-1.000000
50000;0.012000;0.008000;-1.000000
60000;0.015000;0.010000;-1.000000
70000;0.025000;0.013000;-1.000000
80000;0.026000;0.014000;-1.000000
90000;0.024000;0.014000;-1.000000
100000;0.037000;0.018000;-1.000000
110000;0.040000;0.019000;-1.000000
120000;0.047000;0.021000;-1.000000
130000;0.062000;0.023000;-1.000000
140000;0.081000;0.025000;-1.000000
150000;0.086000;0.029000;-1.000000
160000;0.082000;0.030000;-1.000000
170000;0.083000;0.032000;-1.000000
180000;0.094000;0.033000;-1.000000
190000;0.107000;0.034000;-1.000000
200000;0.127000;0.035000;-1.000000
210000;0.157000;0.041000;-1.000000
220000;0.185000;0.042000;-1.000000
230000;0.196000;0.042000;-1.000000
240000;0.221000;0.045000;-1.000000
250000;0.220000;0.046000;-1.000000
260000;0.231000;0.047000;-1.000000
270000;0.256000;0.049000;-1.000000
280000;0.292000;0.054000;-1.000000
290000;0.298000;0.057000;-1.000000
300000;0.318000;0.053000;-1.000000
310000;0.349000;0.056000;-1.000000
320000;0.374000;0.059000;-1.000000
330000;0.387000;0.061000;-1.000000
340000;0.428000;0.063000;-1.000000
350000;0.444000;0.064000;-1.000000
360000;0.453000;0.066000;-1.000000
370000;0.485000;0.067000;-1.000000
380000;0.504000;0.071000;-1.000000
390000;0.523000;0.070000;-1.000000
400000;0.555000;0.074000;-1.000000
410000;0.584000;0.076000;-1.000000
420000;0.606000;0.079000;-1.000000
430000;0.647000;0.079000;-1.000000
440000;0.653000;0.082000;-1.000000
450000;0.689000;0.084000;-1.000000
460000;0.697000;0.086000;-1.000000
470000;0.723000;0.087000;-1.000000
480000;0.749000;0.091000;-1.000000
490000;0.781000;0.091000;-1.000000
500000;0.865000;0.097000;-1.000000
10000;0.002000;0.001000;-1.000000
20000;0.004000;0.003000;-1.000000
30000;0.007000;0.004000;-1.000000
40000;0.009000;0.006000;-1.000000
50000;0.011000;0.009000;-1.000000
60000;0.015000;0.010000;-1.000000
70000;0.029000;0.012000;-1.000000
80000;0.039000;0.015000;-1.000000
90000;0.053000;0.016000;-1.000000
100000;0.059000;0.019000;-1.000000
110000;0.051000;0.018000;-1.000000
120000;0.047000;0.021000;-1.000000
130000;0.052000;0.022000;-1.000000
140000;0.101000;0.026000;-1.000000
150000;0.167000;0.059000;-1.000000
160000;0.131000;0.032000;-1.000000
170000;0.096000;0.038000;-1.000000
180000;0.093000;0.033000;-1.000000
190000;0.113000;0.035000;-1.000000
200000;0.115000;0.035000;-1.000000
210000;0.131000;0.039000;-1.000000
220000;0.179000;0.038000;-1.000000
230000;0.210000;0.052000;-1.000000
240000;0.204000;0.048000;-1.000000
250000;0.284000;0.047000;-1.000000
260000;0.240000;0.047000;-1.000000
270000;0.330000;0.053000;-1.000000
